No.,Discount code,Type
1,4A6DC6D6,10%
2,32FBD1D5,10%
3,4151BC76,10%
4,55CE158B,10%
5,B159D132,10%
6,762B8730,10%
7,7F5F7C3A,10%
8,D3F040F3,10%
9,DFB0E672,10%
10,2714F132,10%
11,9E2B7F59,10%
12,09F90A47,10%
13,E616DB90,10%
14,A4484485,10%
15,B2D5FADF,10%
16,CDF83460,10%
17,0B435D4D,10%
18,5662F6BD,10%
19,47EE8C84,10%
20,68503D39,10%
21,1EB7F7DA,10%
22,E90E37C7,10%
23,5EB24D10,10%
24,B2D023D2,10%
25,EBFEAF8E,10%
26,31A0829B,10%
27,06CB6FC4,10%
28,02913CE1,10%
29,80F32A68,10%
30,0EB436B0,10%
31,A5347260,10%
32,4B0B16B2,10%
33,07D8672F,10%
34,E44545E3,10%
35,B520DECF,10%
36,850F6D09,10%
37,8C3D065A,10%
38,7827F042,10%
39,880D9B0D,10%
40,48A03022,10%
41,1FF0236D,10%
42,DAEA91B9,10%
43,4C5AC9AF,10%
44,B4D1955F,10%
45,7B88BC89,10%
46,B9747C3A,10%
47,6C113AB9,10%
48,352A3FCC,10%
49,6441AB75,10%
50,EBF3E6EC,10%
51,27B56B1F,10%
52,70337143,10%
53,D72C2CC2,10%
54,56ECE8EC,10%
55,2B4A1680,10%
56,AF2B51C8,10%
57,37FAFB0E,10%
58,3B7B86CD,10%
59,BDE4577E,10%
60,5B0B417C,10%
61,87E7F485,10%
62,E41ACE8E,10%
63,16735685,10%
64,BF543E2F,10%
65,F776558A,10%
66,338303F0,10%
67,529D8D68,10%
68,1F53591B,10%
69,FC138015,10%
70,FB70DD28,10%
71,86D594CD,10%
72,4ED03960,10%
73,70D85407,10%
74,2967CFA7,10%
75,610886A9,10%
76,6B57B1B9,10%
77,2FED1901,10%
78,C7C16C3F,10%
79,E187ED67,10%
80,0794642B,10%
81,0051F5C0,15%
82,899BCC11,15%
83,C01145F4,15%
84,16677771,15%
85,AA0DF849,15%
86,18790C9B,15%
87,2D150ED9,15%
88,27B35B08,15%
89,8106B006,15%
90,A2A1DC1D,15%
91,C19F6941,15%
92,150A9BD2,15%
93,BD0254B0,15%
94,399D169C,15%
95,9A844A35,15%
96,10B4C7F0,15%
97,83967F06,15%
98,684E7202,15%
99,CDB13897,15%
100,25BB63E5,15%
101,9F0572AC,15%
102,088E3B1A,15%
103,A2C6A1E4,15%
104,9BF0EF5C,15%
105,7B4BF49E,15%
106,C84C2138,15%
107,3A5AB605,15%
108,5F23F912,15%
109,28E1B585,15%
110,FE8F1366,15%
111,9987DB73,15%
112,7CF04363,15%
113,D2EE4937,15%
114,68E42C81,15%
115,61A8ADA1,15%
116,08DFF95D,15%
117,4CF4AF0D,15%
118,2A0EB087,15%
119,D6638E87,15%
120,3ACEF214,15%
121,1A376B0A,15%
122,EB0B17F2,15%
123,3667C64A,15%
124,67C206B5,15%
125,97572E80,15%
126,4FB72CB2,15%
127,D57E34F2,15%
128,89A4756C,15%
129,BCEE0FAE,15%
130,08B136B8,15%
131,D8CF90D5,15%
132,669D575F,15%
133,4829524D,15%
134,AC4038E9,15%
135,F0823A20,15%
136,0CEF23DF,15%
137,F4A3C170,15%
138,28573CDC,15%
139,EC1198B9,15%
140,449345E4,15%
141,D902962B,15%
142,1005AFEA,15%
143,91010D3A,15%
144,CC03C03F,15%
145,E616F1EE,15%
146,3EE6CEDC,15%
147,ADCC7258,15%
148,B1E4E11D,15%
149,FE85E4F4,15%
150,4D6223B8,15%
151,FD382DDF,15%
152,E18108CD,15%
153,1B39085C,15%
154,18CF10D8,15%
155,1062CE4C,15%
156,04487C35,15%
157,7719A6EC,15%
158,32CD6EC4,15%
159,203A3F1E,15%
160,2EC7499E,15%
161,CAD8734E,20%
162,636537E7,20%
163,59368671,20%
164,6BC33E13,20%
165,37C3D329,20%
166,89BF44A8,20%
167,EE7C164A,20%
168,1C73E946,20%
169,9EEEB605,20%
170,0F8918C4,20%
171,03C7AE3A,20%
172,5106B299,20%
173,C829FF0D,20%
174,D355BF8F,20%
175,47C5CA59,20%
176,B0E0FC1C,20%
177,EA927B81,20%
178,E68DB8D3,20%
179,EAB7A4B5,20%
180,46525960,20%
181,DEB56DF3,25%
182,BBBFF3A0,25%
183,7787C4DB,25%
184,85A8D1CE,25%
185,808DA43A,25%
186,6A65DD6F,25%
187,F7B021D5,25%
188,33D936B9,25%
189,8DDB215D,25%
190,7D6C7BF5,25%
191,B493D152,25%
192,652D8652,25%
193,9B975656,25%
194,5A149C3B,25%
195,DB2E490F,25%
196,A8AB6266,25%
197,9387E99E,25%
198,ACFC0CB5,25%
199,413A2E55,25%
200,99249208,25%
